,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
3900,0,0,0,0,0,0,0,0,13,0,213,325,108,186,157,130,60,290,0,80,241,0,40,0,266,0,0,0,0,0,0,0,0
4000,0,0,0,0,0,0,0,0,23,6,223,335,118,196,167,140,70,300,0,90,251,0,50,0,276,0,0,0,0,0,0,0,0
4100,0,0,0,0,0,0,0,0,33,16,233,345,128,206,177,150,80,310,0,100,261,0,60,0,286,0,0,0,0,0,0,0,0
4200,0,0,0,0,0,0,0,0,43,26,243,7,138,216,187,160,90,320,0,110,271,0,70,0,296,0,0,0,0,0,0,0,0
4300,0,0,0,0,0,0,0,0,53,36,253,17,148,226,197,170,100,330,0,120,281,0,80,0,306,0,0,0,0,0,0,0,0
4400,0,0,0,0,0,0,0,0,63,46,263,27,158,236,207,180,110,340,0,130,291,4,90,0,316,0,0,0,0,0,0,0,0
4500,0,0,0,0,0,0,0,0,73,56,273,37,168,246,217,190,120,350,0,140,301,14,100,0,326,0,0,0,0,0,0,0,0
4600,0,0,0,0,0,0,0,0,83,66,283,47,178,256,227,200,130,360,0,150,311,24,110,0,336,0,0,0,0,0,0,0,0
4700,0,0,0,0,0,0,0,0,93,76,293,57,188,266,237,210,140,370,0,160,321,34,120,0,346,0,0,0,0,0,0,0,0
4800,0,0,0,0,0,0,0,0,103,86,303,67,198,276,247,220,150,380,0,170,331,44,130,2,356,0,0,0,0,0,0,0,0
4900,0,0,0,0,0,0,0,0,113,96,313,77,208,286,257,230,160,390,0,180,341,54,140,12,366,0,0,0,0,0,0,0,0
5000,0,0,0,0,0,0,0,0,123,106,323,87,218,296,267,240,170,4,0,190,351,64,150,22,376,0,0,0,0,0,0,0,0
5100,0,0,0,0,0,0,0,0,133,116,333,97,228,306,277,250,180,14,0,200,361,74,160,32,386,0,0,0,0,0,0,0,0
5200,0,0,0,0,0,0,7,0,143,126,343,107,238,316,287,260,190,24,0,210,371,84,170,42,396,0,0,0,0,0,0,0,0
5300,0,0,0,0,0,0,17,0,153,136,353,117,248,326,297,270,200,34,0,220,381,94,180,52,406,0,0,0,0,0,0,0,0
5400,0,0,0,0,0,0,27,0,163,146,363,127,258,336,307,280,210,44,0,230,9,104,190,62,416,0,0,0,0,0,0,0,0
5500,0,0,0,0,0,0,37,0,173,156,373,137,268,346,317,290,220,54,0,240,19,114,200,72,426,0,0,0,0,0,0,0,0
5600,0,0,0,0,0,0,47,0,183,166,383,147,278,356,327,300,230,64,0,250,29,124,210,82,436,0,0,0,0,0,0,0,0
5700,0,0,0,0,0,0,57,0,193,176,393,157,288,366,337,310,240,74,0,260,39,134,220,92,446,0,0,0,9,0,0,0,0
5800,0,0,0,0,0,0,67,0,203,186,403,167,298,376,347,320,250,84,0,270,49,144,230,102,456,0,0,0,19,0,0,0,0
5900,0,0,0,0,0,0,77,0,213,196,7,177,308,386,357,330,260,94,0,280,59,154,240,112,466,0,0,0,29,0,0,0,0
6000,0,0,0,0,0,0,87,0,223,206,17,187,318,396,367,340,270,104,0,290,69,164,250,122,476,0,0,0,39,0,0,0,0
6100,0,0,0,0,0,0,97,0,233,216,27,197,328,406,377,350,280,114,0,300,79,174,260,132,486,0,0,0,49,0,0,0,0
6200,0,0,0,0,0,0,107,0,243,226,37,207,338,8,387,360,290,124,0,310,89,184,270,142,496,0,0,0,59,0,0,0,0
6300,0,0,0,0,0,0,117,0,253,236,47,217,348,18,397,370,300,134,0,320,99,194,280,152,506,0,0,0,69,0,0,0,0
6400,0,0,0,0,0,0,127,1,263,246,57,227,358,28,407,380,310,144,0,330,109,204,290,162,516,0,0,0,79,0,0,0,0
6500,0,0,0,0,0,0,137,11,273,256,67,237,368,38,417,390,320,154,0,340,119,214,300,172,526,0,0,0,89,0,0,0,0
6600,0,0,0,0,0,0,147,21,283,266,77,247,378,48,427,400,330,164,0,350,129,224,310,182,536,0,0,0,99,0,0,0,0
6700,0,0,0,0,0,0,157,31,293,276,87,257,388,58,3,410,340,174,0,360,139,234,320,192,546,0,0,0,109,0,0,0,0
6800,0,0,0,0,0,0,167,41,303,286,97,267,398,68,13,420,350,184,0,370,149,244,330,202,556,0,0,0,119,0,0,0,0
6900,0,0,0,0,0,0,177,51,313,296,107,277,408,78,23,430,360,194,0,380,159,254,340,212,566,0,0,0,129,0,0,0,0
7000,0,0,0,0,0,0,187,61,323,306,117,287,418,88,33,5,370,204,0,390,169,264,350,222,576,0,0,0,139,0,0,0,0
7100,0,0,0,0,0,0,197,71,333,316,127,297,428,98,43,15,380,214,0,400,179,274,360,232,586,0,0,0,149,0,0,0,0
7200,0,0,0,0,0,0,207,81,343,326,137,307,438,108,53,25,390,224,0,410,189,284,370,242,596,0,0,0,159,0,0,0,0
